t,ts,demand,R,R_target,u_hat,spread,rho_t,violated,viol_rate,z
190,2023-10-24 17:30:00,79634.69,96446.77141862092,97155.97536670919,77004.671875,15308.7421875,0.0,0,0.0,1.0452894
191,2023-10-24 17:45:00,85463.31,96665.45073920811,97175.7024872449,77408.015625,15017.3125,0.0,0,0.0,1.2633549
192,2023-10-24 18:00:00,77910.5,97730.99931846609,100217.27933673469,79798.6484375,15511.828125,0.0,0,0.0,0.9807827
193,2023-10-24 18:15:00,73157.1,97678.90685710992,97557.35778061225,78213.28125,14695.5,0.0,0,0.0,0.8029445
194,2023-10-24 18:30:00,76157.74,96570.3119683443,93983.5905612245,75310.59375,14185.6875,0.0,0,0.0,0.915207
195,2023-10-24 18:45:00,77909.28,95906.5255127262,94357.69044961735,75099.2265625,14630.4609375,0.0,0,0.0,0.9807371
196,2023-10-24 19:00:00,80058.42,95842.56280469916,95693.3164859694,75972.75,14981.515625,0.0,0,0.0,1.0611426
197,2023-10-24 19:15:00,79830.87,96345.84552578941,97520.171875,77436.484375,15257.375,0.0,0,0.0,1.0526291
198,2023-10-24 19:30:00,78084.11,96865.53596881789,98078.14700255102,78091.703125,15183.5,0.0,0,0.0,0.98727787
199,2023-10-24 19:45:00,72555.97,97013.88185068527,97360.02224170919,77699.5234375,14935.8828125,0.0,0,0.0,0.7804544
200,2023-10-24 20:00:00,79004.3,96004.21673744397,93648.33147321429,74977.453125,14184.078125,0.0,0,0.0,1.0217047
201,2023-10-24 20:15:00,81454.94,96123.15748789445,96400.68590561225,76622.2421875,15025.484375,0.0,0,0.0,1.1133901
202,2023-10-24 20:30:00,83734.05,96918.32739713836,98773.72385204081,78521.3203125,15385.546875,0.0,0,0.0,1.1986581
203,2023-10-24 20:45:00,81739.14,98038.38756447643,100651.86128826531,80172.453125,15558.0,0.0,0,0.0,1.124023
204,2023-10-24 21:00:00,87654.69,98682.1877412432,100184.38815369898,80037.21875,15305.6015625,0.0,0,0.0,1.3453404
205,2023-10-24 21:15:00,83084.2,99919.57942588555,102806.82669005102,81956.6875,15839.640625,0.0,0,0.0,1.1743456
206,2023-10-24 21:30:00,81786.07,100299.37367847702,101185.56026785714,80912.8359375,15400.984375,0.0,0,0.0,1.1257788
207,2023-10-24 21:45:00,75189.87,100059.12733545687,99498.55253507654,79646.8984375,15081.1015625,0.0,0,0.0,0.8789961
208,2023-10-24 22:00:00,67783.28,98244.88579457745,94011.6555325255,75782.0859375,13848.8203125,0.0,0,0.0,0.6018946
209,2023-10-24 22:15:00,64885.21,94397.52813177819,85420.36025191327,69454.4609375,12129.1328125,0.0,0,0.0,0.49346957
210,2023-10-24 22:30:00,57029.82,89602.76553089269,78414.98612882654,63513.203125,11320.734375,0.0,0,0.0,0.19957706
211,2023-10-24 22:45:00,54448.67,83284.23114825116,68540.98425542092,54746.84375,10479.26953125,0.0,0,0.0,0.103008956
